document_id,token_index,sentence_index,paragraph_index,token_text,lemma,pos,domain_class,character_offset,normalized_position,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_transition_rate,standard_error,ci95_low,ci95_high,n_trials,status
cli_input,364,7,0,installations,installation,NNS,general,1187,0.8425925925925926,-0.17309556090279393,-0.17124386763874955,0.1506032420466362,0.17908220844032058,1.0,0.06735181736962662,-0.3051051229472621,-0.041085998858325756,5,valid
cli_input,384,8,0,setups,setup,NNS,general,1270,0.8888888888888888,-0.1687111921167877,-0.2522014383823544,0.14689768464262443,0.1687111921167877,1.0,0.06569464171964702,-0.29747268988729586,-0.03994969434627954,5,valid
cli_input,394,8,0,upgrade,upgrade,VB,general,1297,0.9120370370370371,-0.1445165268312032,-0.18784334574245687,0.07069761937385814,0.1445165268312032,1.0,0.03161693655347058,-0.20648572247600552,-0.08254733118640087,5,valid
cli_input,410,8,0,illuminating,illuminate,VBG,general,1362,0.9490740740740741,-0.18563150426741065,-0.15471064257823564,0.09595484627973667,0.18563150426741065,1.0,0.0429123118104068,-0.269739635415808,-0.10152337311901333,5,valid
cli_input,422,8,0,facet,facet,NN,general,1396,0.9768518518518519,-0.03308487525172721,0.02902886932198423,0.1414486837891571,0.11073474652422562,1.0,0.06325777445608556,-0.1570701131856549,0.09090036268220049,5,valid
cli_input,50,1,0,diversity,diversity,NN,finance,155,0.15337423312883436,-0.20800624605815568,-0.208997303535773,0.08204870105491195,0.20800624605815568,1.0,0.036693294604868365,-0.2799251034836977,-0.1360873886326137,5,valid
cli_input,54,1,0,outcomes,outcome,NNS,finance,168,0.1656441717791411,-0.41049216590582677,-0.4385077424123031,0.13726602462771298,0.41049216590582677,1.0,0.061387232413745295,-0.5308111414367676,-0.290173190374886,5,valid
cli_input,58,1,0,amenities,amenity,NNS,finance,181,0.17791411042944785,0.18191185121780062,0.27598878092587315,0.17473079315332332,0.193606567371287,1.0,0.07814198625065716,0.028753558166512594,0.33507014426908865,5,valid
cli_input,113,2,0,heightened,heighten,VBD,finance,358,0.34662576687116564,0.053221959262171215,0.09187796719505709,0.10001815959715316,0.09851422079469496,1.0,0.04472948076873148,-0.0344478230445425,0.14089174156888493,5,valid
cli_input,123,2,0,diversity,diversity,NN,finance,384,0.3773006134969325,-0.2158436560494826,-0.208997303535773,0.11614700704019576,0.2158436560494826,1.0,0.05194252062500487,-0.31765099647449213,-0.11403631562447306,5,valid
cli_input,127,2,0,outcomes,outcome,NNS,finance,397,0.3895705521472393,0.09645106219841862,0.15099062462728297,0.1812032230336455,0.1696965310159412,1.0,0.0810365448890574,-0.06238056578413387,0.2552826901809711,5,valid
cli_input,162,3,0,services,service,NNS,finance,503,0.49693251533742333,-0.19345065323503668,-0.2212826822575089,0.1231221381502376,0.20105967322747706,1.0,0.0550618940878103,-0.30137196564714486,-0.0855293408229285,5,valid
cli_input,250,4,0,facilities,facility,NNS,finance,792,0.7668711656441718,-0.12442092875608413,-0.15325848313476131,0.11010875805141387,0.1396308912949033,1.0,0.04924213358420774,-0.2209355105811313,-0.027906346931036954,5,valid
cli_input,4,0,0,discerning,discern,VBG,general,17,0.012618296529968454,0.04542099477416313,0.04150133915829002,0.04634638306126622,0.04542099477416313,1.0,0.020726732607247212,0.004796598863958591,0.08604539068436767,5,valid
cli_input,46,0,0,investigate,investigate,VB,general,130,0.14511041009463724,0.009209710955904527,-0.027773842021471373,0.09265550686295489,0.07762107845048902,1.0,0.041436802367053084,-0.0720064216835195,0.09042584359532857,5,valid
cli_input,96,1,0,duties,duty,NNS,general,290,0.3028391167192429,-0.3632407216221808,-0.3328732329507409,0.06345475211540713,0.3632407216221808,1.0,0.028377827845089784,-0.4188612641985568,-0.3076201790458048,5,valid
cli_input,107,1,0,building,build,VBG,general,326,0.33753943217665616,-0.23888561445310302,-0.18925980698039357,0.16467812560754588,0.23888561445310302,1.0,0.07364629665314429,-0.3832323558932658,-0.09453887301294023,5,valid
cli_input,123,2,0,engines,engine,NNS,general,383,0.38801261829652994,0.02705610039164763,-0.09616955487626755,0.19839508690512833,0.16807570047651682,1.0,0.08872498014436905,-0.14684486069131572,0.20095706147461098,5,valid
cli_input,135,2,0,strategies,strategy,NNS,general,422,0.42586750788643535,-0.08900812930383613,-0.1649314683221561,0.1753574939475519,0.16228025084010558,1.0,0.07842225536614679,-0.2427157498214838,0.06469949121381156,5,valid
cli_input,155,2,0,delve,delve,VB,general,500,0.4889589905362776,-0.19219632220976102,-0.19277655883444234,0.12490596349489196,0.19219632220976102,1.0,0.05585964503393712,-0.30168122647627776,-0.08271141794324426,5,valid
cli_input,159,2,0,edifice,edifice,NN,general,510,0.501577287066246,-0.15021196582841623,-0.15021196582841623,0.08570333269400872,0.15021196582841623,1.0,0.060601407718220306,-0.268990724956128,-0.03143320670070443,2,under_sampled
cli_input,176,3,0,discerning,discern,VBG,general,560,0.555205047318612,-0.1072734989760975,0.038626622769394436,0.21775781399449615,0.16908891444315746,1.0,0.09738425494468968,-0.29814663866768926,0.08359964071549425,5,valid
cli_input,186,3,0,structure,structure,NN,general,601,0.5867507886435331,0.1119866515488616,0.1720466742495932,0.12294767991738165,0.1529436668425172,1.0,0.054983873994230215,0.0042182585201703815,0.21975504457755282,5,valid
cli_input,201,3,0,substances,substance,NNS,general,658,0.6340694006309149,-0.00219636138399133,-0.009289877263158774,0.09195423676717662,0.06413762080610678,1.0,0.041123184846103486,-0.08279780368235416,0.0784050809143715,5,valid
cli_input,235,4,0,diversity,diversity,NN,general,761,0.7413249211356467,-0.19817954062755525,-0.08201687578061934,0.1888849473667554,0.19817954062755525,1.0,0.08447191644770699,-0.36374449686506094,-0.03261458439004955,5,valid
cli_input,256,4,0,setups,setup,NNS,general,847,0.807570977917981,-0.21532336479956676,-0.2525880888936458,0.08455967131377279,0.21532336479956676,1.0,0.03781623464252698,-0.2894431846989196,-0.1412035449002139,5,valid
